Title,Year,Hours,Horsepower,Location,Price,URL
New Holland T7040 POWER COMMAND,2011,"6,563
                                                                                                    h","186
                                                                                                    hp","United Kingdom,            , East Midlands              (Leicestershire)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44918309/new-holland-t7040-power-command.html
John Deere 6155R,2021,"3,746
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , East Midlands","85,734 €",https://www.agriaffaires.co.uk/used/farm-tractor/44048327/john-deere-6155r.html
John Deere 6R 250,2023,"675
                                                                                                    h","250
                                                                                                    hp","United Kingdom,            , South East England","188,557 €",https://www.agriaffaires.co.uk/used/farm-tractor/44985431/john-deere-6r-250.html
John Deere 6R 130,2023,"445
                                                                                                    h","130
                                                                                                    hp","United Kingdom,            , South East England","114,255 €",https://www.agriaffaires.co.uk/used/farm-tractor/44342993/john-deere-6r-130.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 6155R,2019,"1,745
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , South East England","110,597 €",https://www.agriaffaires.co.uk/used/farm-tractor/44715924/john-deere-6155r.html
Fiat F100 DT,"1,473
                                                                                                    h",N/A,N/A,"United Kingdom,            , South West England              (Gloucestershire)","29,721 €",https://www.agriaffaires.co.uk/used/farm-tractor/45099875/fiat-f100-dt.html
John Deere 6215R,2022,"950
                                                                                                    h","215
                                                                                                    hp","United Kingdom,            , South East England","156,550 €",https://www.agriaffaires.co.uk/used/farm-tractor/45002993/john-deere-6215r.html
John Deere 6155R,2021,"4,000
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , East Midlands","98,308 €",https://www.agriaffaires.co.uk/used/farm-tractor/44680638/john-deere-6155r.html
John Deere 6195R,2017,"7,120
                                                                                                    h","195
                                                                                                    hp","United Kingdom,            , South East England","74,246 €",https://www.agriaffaires.co.uk/used/farm-tractor/44944369/john-deere-6195r.html
John Deere 7R 330,2020,"1,465
                                                                                                    h","330
                                                                                                    hp","United Kingdom,            , South East England","217,135 €",https://www.agriaffaires.co.uk/used/farm-tractor/44240055/john-deere-7r-330.html
John Deere 6195R,2021,"2,450
                                                                                                    h","195
                                                                                                    hp","United Kingdom,            , South East England","114,255 €",https://www.agriaffaires.co.uk/used/farm-tractor/44268832/john-deere-6195r.html
John Deere 6190R,2015,N/A,N/A,"United Kingdom,            , South East England",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45073555/john-deere-6190r.html
Massey Ferguson 7624 DYNA 6,2012,"9,000
                                                                                                    h","240
                                                                                                    hp","United Kingdom,            , Northern Ireland","37,151 €",https://www.agriaffaires.co.uk/used/farm-tractor/44886156/massey-ferguson-7624-dyna-6.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 5100M,2022,"500
                                                                                                    h","100
                                                                                                    hp","United Kingdom,            , East Midlands","66,301 €",https://www.agriaffaires.co.uk/used/farm-tractor/44486148/john-deere-5100m.html
John Deere 6175R,2017,"5,160
                                                                                                    h","175
                                                                                                    hp","United Kingdom,            , South East England","74,246 €",https://www.agriaffaires.co.uk/used/farm-tractor/44240104/john-deere-6175r.html
Massey Ferguson 8S.245,2022,"692
                                                                                                    h","245
                                                                                                    hp","United Kingdom,            , South East England","113,169 €",https://www.agriaffaires.co.uk/used/farm-tractor/44886502/massey-ferguson-8s-245.html
John Deere 6250R *DG08*,2021,"3,365
                                                                                                    h","250
                                                                                                    hp","United Kingdom,            , East Midlands","131,459 €",https://www.agriaffaires.co.uk/used/farm-tractor/44911412/john-deere-6250r-dg08.html
Case 4240,1998,"95
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)","11,145 €",https://www.agriaffaires.co.uk/used/farm-tractor/45116770/case-4240.html
Kubota M9960,2014,"3,437
                                                                                                    h","106
                                                                                                    hp","United Kingdom,            , North West England              (Cumbria)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45116355/kubota-m9960.html
John Deere 6215R,2021,"3,890
                                                                                                    h","215
                                                                                                    hp","United Kingdom,            , East Midlands","125,171 €",https://www.agriaffaires.co.uk/used/farm-tractor/44542426/john-deere-6215r.html
John Deere 6155R,2020,"2,345
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , South East England","97,108 €",https://www.agriaffaires.co.uk/used/farm-tractor/44898890/john-deere-6155r.html
Valtra N101,2008,"8,883
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45105770/valtra-n101.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Case IH PUMA 160,2013,"5,198
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","45,668 €",https://www.agriaffaires.co.uk/used/farm-tractor/45095988/case-ih-puma-160.html
International 956 XL,1982,"1,399
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45091485/international-956-xl.html
Case IH 574,1978,"3,489
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","8,973 €",https://www.agriaffaires.co.uk/used/farm-tractor/45091442/case-ih-574.html
John Deere 7530 PREMIUM,L07530K625215,semi-powershift,600/65R28,"United Kingdom,            , Yorkshire and the Humber",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45073105/john-deere-7530-premium.html
John Deere 6230,"3,763
                                                                                                    h",N/A,N/A,"United Kingdom,            , Yorkshire and the Humber","32,579 €",https://www.agriaffaires.co.uk/used/farm-tractor/45070194/john-deere-6230.html
John Deere 8530,2008,"9,200
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45064812/john-deere-8530.html
John Deere 6145M,2023,"500
                                                                                                    h","145
                                                                                                    hp","United Kingdom,            , East Midlands","93,736 €",https://www.agriaffaires.co.uk/used/farm-tractor/44938982/john-deere-6145m.html
New Holland T7030,2008,"5,237
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","47,439 €",https://www.agriaffaires.co.uk/used/farm-tractor/44971196/new-holland-t7030.html
John Deere 6150R AUTOPOWER,2014,"11,621
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","34,294 €",https://www.agriaffaires.co.uk/used/farm-tractor/44918263/john-deere-6150r-autopower.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 7530 PREMIUM,2011,"9,733
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","38,809 €",https://www.agriaffaires.co.uk/used/farm-tractor/44918571/john-deere-7530-premium.html
David Brown 1490,1983,"2,665
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","7,830 €",https://www.agriaffaires.co.uk/used/farm-tractor/44893458/david-brown-1490.html
Massey Ferguson 7620 DYNA 6,2014,"1,371
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","54,298 €",https://www.agriaffaires.co.uk/used/farm-tractor/44901267/massey-ferguson-7620-dyna-6.html
John Deere 7530 PREMIUM,2008,"4,767
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","68,016 €",https://www.agriaffaires.co.uk/used/farm-tractor/44892528/john-deere-7530-premium.html
John Deere 6210R,2012,"2,806
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","72,588 €",https://www.agriaffaires.co.uk/used/farm-tractor/44901118/john-deere-6210r.html
New Holland T7.210,2021,"2,480
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","73,731 €",https://www.agriaffaires.co.uk/used/farm-tractor/44815006/new-holland-t7-210.html
Mc Cormick MTX 150,2006,"7,456
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","31,436 €",https://www.agriaffaires.co.uk/used/farm-tractor/44707799/mc-cormick-mtx-150.html
New Holland T6070 PLUS,2011,"7,163
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/43913374/new-holland-t6070-plus.html
Claas ARION 410,2013,"4,592
                                                                                                    h","95
                                                                                                    hp","United Kingdom,            , Wales",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44520627/claas-arion-410.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Case IH LUXXUM 120,2017,"5,082
                                                                                                    h",N/A,"United Kingdom,            , South West England","40,009 €",https://www.agriaffaires.co.uk/used/farm-tractor/43563347/case-ih-luxxum-120.html
John Deere 6250R,2020,"4,320
                                                                                                    h","250
                                                                                                    hp","United Kingdom,            , South East England","128,029 €",https://www.agriaffaires.co.uk/used/farm-tractor/43491365/john-deere-6250r.html
Claas ELIOS 230,2013,"1,701
                                                                                                    h","88
                                                                                                    hp","United Kingdom,            , East Midlands              (Lincolnshire)","25,720 €",https://www.agriaffaires.co.uk/used/farm-tractor/44942053/claas-elios-230.html
Claas ARION 650,2016,"5,593
                                                                                                    h","175
                                                                                                    hp","United Kingdom,            , East Midlands              (Lincolnshire)","52,583 €",https://www.agriaffaires.co.uk/used/farm-tractor/44942075/claas-arion-650.html
Massey Ferguson 5713S,2019,"1,339
                                                                                                    h","130
                                                                                                    hp","United Kingdom,            , North West England","64,015 €",https://www.agriaffaires.co.uk/used/farm-tractor/44858398/massey-ferguson-5713s.html
John Deere 6155M,"6,075
                                                                                                    h",N/A,N/A,"United Kingdom,            , South West England","56,013 €",https://www.agriaffaires.co.uk/used/farm-tractor/45091468/john-deere-6155m.html
John Deere 8345R,2018,"5,367
                                                                                                    h","345
                                                                                                    hp","United Kingdom,            , East of England              (Cambridgeshire)","136,603 €",https://www.agriaffaires.co.uk/used/farm-tractor/44171755/john-deere-8345r.html
John Deere 6R155,2023,"500
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , East Midlands","138,889 €",https://www.agriaffaires.co.uk/used/farm-tractor/45012615/john-deere-6r155.html
Fordson Major Dexta,20192,For sale / Offers,Dexta,"United Kingdom,            , South West England",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45084838/fordson-major-dexta.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
