Tractor Name,Year,Hours,Company,Company URL,URL
Case IH 115,2016,4722h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/lloyd-ltd/dd5aa1ba,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-115/lkycrnuf.html
Case IH CX100,1998,4431h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/parris-tractors-ltd/abb2804b,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-cx100/mezioixc.html
Case IH Farmall 95 A,2018,1845h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/howard-sons/9d5a6bb4,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-farmall-95-a/zmndziwf.html
Case IH Puma CVX 260,2023,1190h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/parris-tractors-ltd/abb2804b,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-cvx-260/zmyiqhlq.html
Case IH Puma 220,2020,4370h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/townson-tractors-ltd/7939e304,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-220/lioixjwi.html
Case IH Farmall 115A,2021,2780h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/townson-tractors-ltd/7939e304,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-farmall-115a/nqwqnbzb.html
Case IH 995,1993,"-, UK",,"https://www.mascus.co.ukhttps://www.mascus.co.uk/cg-machinery/a4631113,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-995/skyomoob.html
Case IH Quantum 110F,2018,985h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/mark-hellier-tractors-se-ltd/165669e7,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-quantum-110f/uevgzgym.html
Case IH Puma 175 CVX,2018,2830h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/cg-machinery/a4631113,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-175-cvx/udukmlpj.html
Case IH Puma 185 CVX,2017,7792h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/cg-machinery/a4631113,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-185-cvx/snwgnowf.html
Case IH Puma 150,2018,5100h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/a-m-group/c80ca05d,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-150/lcvkmnqf.html
Case IH Puma 200 CVX,2021,4227h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/mark-hellier-tractors-se-ltd/165669e7,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-200-cvx/yhtouqve.html
Case IH 95 U,2016,2843h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/morgan-machinery-ltd/7be8639a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-95-u/topmuptn.html
Case IH Puma CVX 260,2024,626h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/parris-tractors-ltd/abb2804b,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-cvx-260/pjqdwjwk.html
Case IH Puma 240 CVX,2021,4882h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/cg-machinery/a4631113,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-240-cvx/zqznvewi.html
Case IH Luxxum 120,2018,3572h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/a-m-group/c80ca05d,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-luxxum-120/sntevdwb.html
Case IH Puma CVX 260,2024,701h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/parris-tractors-ltd/abb2804b,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-cvx-260/yitfwdsg.html
Case IH Maxxum 110,2017,2722h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/a-m-group/c80ca05d,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-maxxum-110/lftixfzh.html
Case IH CVX1155 Tractor,2005,"-, UK",,"https://www.mascus.co.ukhttps://www.mascus.co.uk/garlick-agri-ltd/5fd48c79,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-cvx1155-tractor/lflb0kol.html
Case IH Maxxum 115,2017,2560h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/a-m-group/c80ca05d,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-maxxum-115/wnwlrfvo.html
Case IH Maxxum 125,2011,6278h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/a-m-group/c80ca05d,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-maxxum-125/zdudzqwq.html
Case IH OPTUM 300,2019,"SUDBURY, Derby Derbyshire, UK",,"https://www.mascus.co.ukhttps://www.mascus.co.uk/rea-valley-tractors-ltd/f78a8117,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-optum-300/rdrnobsq.html
Case IH 240 CVX,2021,"SUDBURY, Derby Derbyshire, UK",,"https://www.mascus.co.ukhttps://www.mascus.co.uk/rea-valley-tractors-ltd/f78a8117,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-240-cvx/qnoqtctb.html
Case IH Puma 145,2014,4948h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/cg-machinery/a4631113,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-145/sptlqkth.html
Case IH JX1060C,2004,4893h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/ripon-farm-services-ltd/ae8aa17f,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-jx1060c/0q0brdom.html
Case IH Maxxum 125 Tractor c/w Quicke Q6S Loader,2017,"-, UK",,"https://www.mascus.co.ukhttps://www.mascus.co.uk/garlick-agri-ltd/5fd48c79,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-maxxum-125-tractor-c-w-quicke-q6s-loader/qlvf0csk.html
