Name,Address,Postal Code,Locality,Brands,Website,URL
,,,,,
Heinrich Schröder Landmaschinen KG,Heemstrasse 51-55,27793,Wildeshausen - Germany,"Amazone, Bema, Caterpillar, Fendt, Massey Ferguson, Merlo, Schäffer, Tuchel, Weidemann, Valtra",www.schroeder-gruppe.de
VEMAC GmbH,Lange Göhren 7b,39171,Osterweddingen/Magdeburg - Germany,,
MERKANTIL Export-Import GmbH,Neubrandenburger Straße 28a,17094,Pragsdorf - Germany,"Amazone, Case IH, Deutz-Fahr, Grimme, Hardi, Hawe, Horsch, John Deere, Kemper, Köckerling, Kuhn, Kverneland, Lemken, New Holland, Vaderstad, CLAAS",www.youtube.com/watch?v=MsaLddaiq4o
Fricke Landmaschinen GmbH,Wichernstraße 2,27404,Bockel - Germany,,www.fricke24.de
Raiffeisen Waren GmbH,Lindener Bergsfeld 8,31188,Holle-Grasdorf - Germany,,www.rt-grasdorf.de
Josef Greving Landmaschinen,Sabstätte 37,48683,Ahaus - Germany,,
LVD Bernard Krone GmbH,Max-Eyth-Str. 1,48480,Spelle - Germany,"Case IH, Fendt, Horsch, John Deere, Kramer, Krone, Lemken, New Holland, Weidemann, CLAAS",www.krone-agropark.com
Kopf Landmaschinen GmbH,Kürzellerstr. 1-3,77743,Schutterzell - Germany,"Fendt, Geringhoff, JCB, Kemper, Massey Ferguson, Rabe, CLAAS",
VR PLUS Altmark-Wendland eG,"Krebsweg 25
                                                                    Gebrauchtmaschinenzentrum",39606,Osterburg (Altmark) - Germany,,www.vb-ware.de
Deppe & Stücker GmbH,Barbiser Straße 134,37431,Bad Lauterberg im Harz - Germany,"Annaburger, Bednar, John Deere, Köckerling, Kramer, Krampe, Kuhn, Lemken, Pöttinger, Rauch",
Raiffeisen Waren-Zentrale Rhein-Main AG,Altenberger Straße 1a,50668,Köln - Germany,"Amazone, Binger, Dewulf, Fella, Fendt, Köckerling, Lemken, Maschio, Massey Ferguson, Miedema, Pöttinger, Strautmann, Valtra",www.rwz.de
A1 Gebrauchtmaschinen - Center REBO LANDMASCHINEN GMBH,Ringstrasse 4,49434,Neuenkirchen-Vörden - Germany,John Deere,www.rebo.de
August Bruns Landmaschinen,Zum Brook 30,49661,Cloppenburg - Germany,"Agrifac, Alo - Quicke, Bruns, CHD, Köckerling, Kuhn, New Holland Agriculture, New Holland Construction, Quivogne, Rauch, Strautmann",www.abc-bruns.de
Fritz Brandt,Hodenberger Strasse 40,28355,Bremen - Germany,"Bobcat, Briri, Case, Deutz-Fahr, Doosan, Fendt, Fiat, Fortschritt, Geringhoff, Hürlimann, Iseki, JCB, John Deere, Kemper, Krone, Kubota, Lamborghini, Manitou, Massey Ferguson, McCormick, Mercedes-Benz, Merlo, New Holland, Renault, Steyr, Welger, Yanmar, CLAAS",www.brandt-traktoren.de
Clemens Hoping GmbH,Kapellenweg 3,49456,Bakum - Germany,,www.hoping.de/
Kotschenreuther Forst- & Landtechnik GmbH & Co. KG,Neufang 153,96349,Steinwiesen - Germany,,
Hans Völk GmbH & Co. KG,Habacher Straße 1,82387,Antdorf - Germany,,www.hans-voelk.de/
