Name,URL,Activity,Location,Brands,Ads Count,Main Street Address,Main Postal Code,Main Address Locality,Additional Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRAVIS TECHNIK HOLDING GMBH,https://www.agriaffaires.co.uk/pros/list/1/gp/49.html,Dealer/ Distributor,"Germany - Hannover
                                                    (NI)",,1518 ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heinrich Schröder Landmaschinen KG,https://www.agriaffaires.co.uk/pros/list/23476-0/1/heinrich-schroder-landmaschinen-kg.html,Vehicle/equipment Wholesale,"Germany - Lastrup
                                                    (NI)
                                                                        
                            (22 other addresses)","Valtra,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Caterpillar,                                                                             Merlo,                                                                             Amazone,                                                                             Weidemann,                                                                             Schäffer,                                                                             Bema,                                                                             Tuchel",865 ads,Heemstrasse 51-55,27793,Wildeshausen - Germany,Wildeshausen (NI), Ahlerstedt (NI), Böhne (BR), Wittmund-Funnix (NI), Hemmoor (NI), Friedland (MV), Holdorf (NI), Jerichow-Kleinmangelsdorf (ST), Langenweddingen (ST), Langfoerden (NI), Lastrup (NI), Leizen (MV), Norden (NI), Penzlin (MV), Scharrel (NI), Schwarmstedt (NI), Schweiburg (NI), Wildeshausen (NI), Twistringen (NI), Voelkersen (NI), Wardenburg (NI), Loeningen (NI), Westerstede (NI),,,,,,,,,,,,,,,,,,
VEMAC GmbH,https://www.agriaffaires.co.uk/pros/list/1764673-0/1/vemac-gmbh.html,Manufacturer,"Germany - Osterweddingen/Magdeburg
                                                    (ST)",,800 ads,Lange Göhren 7b,39171,Osterweddingen/Magdeburg - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERKANTIL Export-Import GmbH,https://www.agriaffaires.co.uk/pros/list/18882-0/1/merkantil-export-import-gmbh.html,Vehicle/equipment Wholesale,"Germany - Pragsdorf
                                                    (MV)
                                                                        
                            (One other address)","Claas,                                                                             Deutz-Fahr,                                                                             New Holland,                                                                             Case IH,                                                                             John Deere,                                                                             Kemper,                                                                             Kuhn,                                                                             Kverneland,                                                                             Amazone,                                                                             Vaderstad,                                                                             Hardi,                                                                             Lemken,                                                                             Grimme,                                                                             Horsch,                                                                             Köckerling,                                                                             Hawe",757 ads,Neubrandenburger Straße 28a,17094,Pragsdorf - Germany,Pragsdorf (MV), Pragsdorf (MV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fricke Landmaschinen GmbH,https://www.agriaffaires.co.uk/pros/list/88249-0/1/fricke-landmaschinen-gmbh.html,Dealer/ Distributor,"Germany - Zeven
                                                    (NI)
                                                                        
                            (12 other addresses)",,694 ads,Wichernstraße 2,27404,Bockel - Germany,Bockel (NI), Heeslingen (NI), Lamstedt (NI), Winsen-Luhe (NI), Demmin (NI), Röbel/Müritz (NI), Zeven (NI), Harsefeld (NI), Teterow (NI), Soltau (NI), Steimbke (NI), Sulingen (NI), Verden / Dauelsen (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiffeisen Waren GmbH,https://www.agriaffaires.co.uk/pros/list/415919-0/1/raiffeisen-waren-gmbh.html,Dealer/ Distributor,"Germany - Marburg-Cappel
                                                    (NI)
                                                                        
                            (28 other addresses)",,658 ads,Lindener Bergsfeld 8,31188,Holle-Grasdorf - Germany,Holle-Grasdorf (NI), Amöneburg-Roßdorf (NI), Bad Hersfeld (NI), Bebra (NI), Beedenbostel (NI), Ebeleben (NI), Frankenberg (NI), Gadenstedt (NI), Gera (NI), Gudensberg (NI), Gutenborn OT Heuckewalde (NI), Hillerse (NI), Hofgeismar (NI), Homberg (NI), Kiel (NI), Korbach (NI), Linsengericht-Altenhaßlau (NI), Marburg-Cappel (NI), Neustadt / Orla (NI), Petersberg (NI), Trendelburg (NI), Tüttleben (NI), Untermaßfeld (NI), Voitze (NI), Wehretal-Hoheneiche  (NI), Weinbergen-Bollstedt (NI), Wipperdorf (NI), Wittingen (NI), Schwalmstadt-Ziegenhain (NI),,,,,,,,,,,,
Josef Greving Landmaschinen,https://www.agriaffaires.co.uk/pros/list/1890901-0/1/josef-greving-landmaschinen.html,Dealer/ Distributor,"Germany - Nottuln
                                                    (NW)
                                                                        
                            (20 other addresses)",,550 ads,Sabstätte 37,48683,Ahaus - Germany,Ahaus (NW), Ahaus (NW), Essen (NW), Essen (NW), Genschmar (NW), Greven (NW), Wesseling-Berzdorf (NW), Heiden (NW), Kevelaer (NW), Ort - Kunde (NW), Schöppingen (NW), Kleve (NW), Nottuln (NW), Rosendahl (NW), Borken (NW), Werne (NW), Wettringen (NW), x (NW), Euskirchen (NW), Polch (NW), Wesseling (NW),,,,,,,,,,,,,,,,,,,,
LVD Bernard Krone GmbH Spelle,https://www.agriaffaires.co.uk/pros/list/66495-0/1/lvd-bernard-krone-gmbh-spelle.html,Vehicle/equipment Wholesale,"Germany - Osterwald
                                                    (NI)
                                                                        
                            (6 other addresses)","Claas,                                                                             New Holland,                                                                             Case IH,                                                                             Fendt,                                                                             John Deere,                                                                             Krone,                                                                             Lemken,                                                                             Weidemann,                                                                             Horsch,                                                                             Kramer",499 ads,Max-Eyth-Str. 1,48480,Spelle - Germany,Spelle (NI), Bawinkel (NI), Dersum (NI), Isterberg (NI), Meppen (NI), Osterwald (NI), Spahnharrenstätte (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kopf Landmaschinen GmbH,https://www.agriaffaires.co.uk/pros/list/385879-0/1/kopf-landmaschinen-gmbh.html,Vehicle/equipment Wholesale,"Germany - Schutterzell
                                                    (BW)
                                                                        
                            (3 other addresses)","Claas,                                                                             Fendt,                                                                             JCB,                                                                             Massey Ferguson,                                                                             Kemper,                                                                             Rabe,                                                                             Geringhoff",490 ads,Kürzellerstr. 1-3,77743,Schutterzell - Germany,Schutterzell (BW), Schutterzell (BW), Kürzell (BW), Kürzell (BW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR PLUS Technik,https://www.agriaffaires.co.uk/pros/list/311967-0/1/vr-plus-technik.html,Vehicle/equipment Wholesale,"Germany - Woltersdorf
                                                    (NI)
                                                                        
                            (One other address)",,400 ads,"Krebsweg 25
                                                                    Gebrauchtmaschinenzentrum",39606,Osterburg (Altmark) - Germany,Osterburg (Altmark) (ST), Woltersdorf (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deppe & Stücker GmbH,https://www.agriaffaires.co.uk/pros/list/1886908-0/1/deppe-stucker-gmbh.html,Vehicle/equipment Wholesale,"Germany - Wettin-Löbejun
                                                    (ST)
                                                                        
                            (14 other addresses)","John Deere,                                                                             Kuhn,                                                                             Pöttinger,                                                                             Lemken,                                                                             Kramer,                                                                             Rauch,                                                                             Köckerling,                                                                             Bednar,                                                                             Annaburger,                                                                             Krampe",398 ads,Barbiser Straße 134,37431,Bad Lauterberg im Harz - Germany,Bad Lauterberg im Harz (NI), Bad Lauterberg / Barbis (NI), Barnstädt (ST), Beckum (NW), Petersberg / Beidersee (NI), Einbeck (NI), Kölleda (TH), Kunde (NI), Lemgo (NW), Polleben (ST), Rietberg (NW), Rosdorf (NI), Soest (NW), Steinheim-Bergheim (NW), Wettin-Löbejun (ST),,,,,,,,,,,,,,,,,,,,,,,,,,
