URL,Category,Type of ad,Reference,Make,Model,Status,Power,Front Tire Dimension,Front Tire Wear,Rear Tire Wear,Spare Parts Availability,Price (excl. VAT),Displayed Price,Reference Price,Reference Currency,VAT Info,Dealer,Location,Phone Number,Comments
https://www.agriaffaires.co.uk/used/farm-tractor/45265345/massey-ferguson-7720-dyna6.html,Farm Tractors,For sale / Offers,,Massey Ferguson,7720 Dyna6,Used - Not indicated,,,N/A,N/A,N/A,,"54,000
                            
                                    54,000 ££ ",54000,GBP,,Wilfred Scrutons,"Mr.
                James Falkingham",42f96adb9c783424fdaa8362400bb38KCs0NCkgMTI2MjQ3MDIxMQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45274622/john-deere-6130r.html,Farm Tractors,For sale / Offers,B1120046,John Deere,6130R,Used - Not indicated,130,,N/A,N/A,N/A,,"87,000
                            
                                    87,000 ££ ",87000,GBP,,Ripon Farm Services LOUTH,"Mr.
                Richard Wainwright",b6dbc863fc8b2658238ddc8f3bbbd6fKCs0NCkgNzg3OTk1NjM5NA==,
https://www.agriaffaires.co.uk/used/farm-tractor/45269545/john-deere-7r-330.html,Farm Tractors,For sale / Offers,B1114311,John Deere,7R 330,Used - Not indicated,330,,N/A,N/A,N/A,,"179,500
                            
                                    179,500 ££ ",179500,GBP,,Ripon Farm Services LOUTH,"Mr.
                Richard Wainwright",b6dbc863fc8b2658238ddc8f3bbbd6fKCs0NCkgNzg3OTk1NjM5NA==,
https://www.agriaffaires.co.uk/new/farm-tractor/44530379/valtra-n155.html,Farm Tractors,For sale / Offers,41013309,Valtra,N155,New - shopsoiled,,,,,N/A,,"108,500
                            
                                    108,500 ££ ",108500,GBP,,Crawford Group,"Mr.
                Dave Redford",490aa01b33b8485eb411bb3c7804f52KCs0NCkgMDc5NzAyNDgxMTY=,
https://www.agriaffaires.co.uk/used/farm-tractor/45091485/international-956-xl.html,Farm Tractors,For sale / Offers,,International,956 XL,Used - very good condition,,,85%,90%,N/A,,"  ",,,,G.M. STEPHENSON,"United Kingdom, Yorkshire and the Humber",d65312d189379444e3624fdbbcf4a7bKCs0NCkgMTcyMzg5MTQ4Nw==,
https://www.agriaffaires.co.uk/used/farm-tractor/44943054/john-deere-6215r.html,Farm Tractors,For sale / Offers,,John Deere,6215R,Used - Not indicated,215,540/65R30 650/65R42,N/A,N/A,N/A,,"129,950
                            
                                    129,950 ££ ",129950,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/44424428/john-deere-6215r.html,Farm Tractors,For sale / Offers,,John Deere,6215R,Used - very good condition,215,600/70/28,70%,70%,N/A,,"87,500
                            
                                    87,500 ££ ",87500,GBP,,HARRISON TRACTORS LTD,"Mr.
                James HARRISON",fe09520a7c01b1b6ced975610c70371KCs0NCkgNzc2ODE3MTA4NQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45234498/john-deere-6110m.html,Farm Tractors,For sale / Offers,A1074681,John Deere,6110M,Used - very good condition,110,340/85R28,50%,50%,N/A,,"  ",,,,Tuckwells,"Mr.
                Harry Durrant",fe207fb875c123e1c1c39a64210a86eKCs0NCkgMDE3OTU4NDMyNTA=,
https://www.agriaffaires.co.uk/used/farm-tractor/44911353/john-deere-7r350.html,Farm Tractors,For sale / Offers,11088161,John Deere,7R350,Used - very good condition,350,,N/A,N/A,N/A,,"225,000
                            
                                    225,000 ££ ",225000,GBP,,BEN BURGESS & CO.,"Mr.
                Will Tunmore-Clarke",6518a50aaaa7ad93aeeeeba0d1523abKCs0NCkgMTYwMzYyODI1MQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45372061/valtra-n155-active.html,Farm Tractors,For sale / Offers,,Valtra,N155 Active,Used - very good condition,165,540/65R28,95%,95%,,," €€ ",106000,EUR,,J Leech Agri Ltd.,"Mr.
                Jonathan Leech",05b737847c23e1048326ab150aa2be3KCszNTMpIDg3NDY4OTMzNQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45273470/john-deere-6130m.html,Farm Tractors,For sale / Offers,A1140340,John Deere,6130M,Used - Not indicated,,,N/A,N/A,N/A,,"79,500
                            
                                    79,500 ££ ",79500,GBP,,Ripon Farm Services,"Mr.
                Richard Wainwright",b6dbc863fc8b2658238ddc8f3bbbd6fKCs0NCkgNzg3OTk1NjM5NA==,
https://www.agriaffaires.co.uk/used/farm-tractor/45145381/john-deere-6215r.html,Farm Tractors,For sale / Offers,,John Deere,6215R,Used - Not indicated,215,VF600/65R28 VF650/65R42,N/A,N/A,N/A,,"68,750
                            
                                    68,750 ££ ",68750,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/44994385/john-deere-8r-410.html,Farm Tractors,For sale / Offers,,John Deere,8R 410,Used - Not indicated,410,650/60R34 900/60R42,N/A,N/A,N/A,,"224,950
                            
                                    224,950 ££ ",224950,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/45155122/zetor-proxima-7441.html,Farm Tractors,For sale / Offers,18470z,Zetor,PROXIMA 7441,Used - good condition,,,N/A,N/A,N/A,,"15,000
                            
                                    15,000 ££ ",15000,GBP,,Graham Holland LTD,"Mr.
                Frank Holland",50c9d2da210b77e08eb6981e8c6bb12KCs0NCkgMDE5MzU4NDEzMDc=,
https://www.agriaffaires.co.uk/used/farm-tractor/44401635/john-deere-6215r.html,Farm Tractors,For sale / Offers,41043630 41043630,John Deere,6215R,Used - Not indicated,215,,N/A,N/A,N/A,,"119,000
                            
                                    119,000 ££ ",119000,GBP,,Hunt Forest Group,"United Kingdom, South East England",2aff3cd845ccf52991211e00245c610KCs0NCkgMDE5ODA2MjExMTQ=,
https://www.agriaffaires.co.uk/used/farm-tractor/45021744/john-deere-6130r.html,Farm Tractors,For sale / Offers,,John Deere,6130R,Used - Not indicated,130,540/65R24 650/65R38,N/A,N/A,N/A,,"87,950
                            
                                    87,950 ££ ",87950,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/45302690/massey-ferguson-7718-dyna-6.html,Farm Tractors,For sale / Offers,B1086368,Massey Ferguson,7718 DYNA 6,Used - good condition,180,600/65R28,10%,15%,N/A,,"46,950
                            
                                    46,950 ££ ",46950,GBP,,Carrs Billington Agriculture,"Mr.
                Stuart PRINGLE",deadb678982b08dcf0fb0220c02e6eaKCs0NCkgMTIyODU1MjYxMQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/44505004/massey-ferguson-5712s.html,Farm Tractors,For sale / Offers,51082425,Massey Ferguson,5712S,Used - very good condition,120,13.6R24,70%,30%,N/A,,"46,800
                            
                                    46,800 ££ ",46800,GBP,,Carrs Billington Agriculture,"Mr.
                Stuart PRINGLE",deadb678982b08dcf0fb0220c02e6eaKCs0NCkgMTIyODU1MjYxMQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/44904721/massey-ferguson-6s145.html,Farm Tractors,For sale / Offers,,Massey Ferguson,6s145,Used - very good condition,,,80%,80%,N/A,,"86,000
                            
                                    86,000 ££ ",86000,GBP,,B&B Tractors,"Mrs
                Lauren Cope",2b7265eaf1cda18ab8f8919f723e85bKCs0NCkgNzQ4MzEyMjE5Nw==,
https://www.agriaffaires.co.uk/used/farm-tractor/45242149/kubota-m-105-gx-iv-with-chilton-loader.html,Farm Tractors,For sale / Offers,6470,Kubota,M 105 GX-IV with Chilton Loader,Used - very good condition,,380/70x24,40%,40%,N/A,,"31,500
                            
                                    31,500 ££ ",31500,GBP,,MARK HELLIER TRACTORS SE Ltd,"Mr.
                Mark HELLIER",56c8b09744b2f595a96925b9088699cKCs0NCkgMTU4MDI5MTI3MQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/44784781/massey-ferguson-5455.html,Farm Tractors,For sale / Offers,,Massey Ferguson,5455,Used - good condition,,,15%,10%,N/A,,"  ",,,,B&B Tractors,"Mrs
                Lauren Cope",2b7265eaf1cda18ab8f8919f723e85bKCs0NCkgNzQ4MzEyMjE5Nw==,
https://www.agriaffaires.co.uk/used/farm-tractor/45269528/john-deere-6215r.html,Farm Tractors,For sale / Offers,71139720,John Deere,6215R,Used - Not indicated,,,N/A,N/A,N/A,,"89,950
                            
                                    89,950 ££ ",89950,GBP,,Ripon Farm Services,"Mr.
                Richard Wainwright",b6dbc863fc8b2658238ddc8f3bbbd6fKCs0NCkgNzg3OTk1NjM5NA==,
https://www.agriaffaires.co.uk/used/farm-tractor/44882689/massey-ferguson-6713.html,Farm Tractors,For sale / Offers,,Massey Ferguson,6713,Used - very good condition,,,80%,80%,N/A,,"38,950
                            
                                    38,950 ££ ",38950,GBP,,B&B Tractors,"Mrs
                Lauren Cope",2b7265eaf1cda18ab8f8919f723e85bKCs0NCkgNzQ4MzEyMjE5Nw==,
https://www.agriaffaires.co.uk/used/farm-tractor/45070587/john-deere-6195r.html,Farm Tractors,For sale / Offers,,John Deere,6195R,Used - Not indicated,195,600/70R28 710/70R42,N/A,N/A,N/A,,"74,950
                            
                                    74,950 ££ ",74950,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/44673940/john-deere-6145r.html,Farm Tractors,For sale / Offers,,John Deere,6145R,Used - Not indicated,145,540/65R28 650/65R38,N/A,N/A,N/A,,"84,950
                            
                                    84,950 ££ ",84950,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/45298034/john-deere-6120m.html,Farm Tractors,For sale / Offers,21101175,John Deere,6120M,Used - very good condition,120,,N/A,N/A,N/A,,"55,750
                            
                                    55,750 ££ ",55750,GBP,,BEN BURGESS & CO.,"Mr.
                Will Tunmore-Clarke",6518a50aaaa7ad93aeeeeba0d1523abKCs0NCkgMTYwMzYyODI1MQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45247248/john-deere-6215r.html,Farm Tractors,For sale / Offers,T5375,John Deere,6215R,Used - good condition,215,600/70x28,60%,50%,N/A,,"65,500
                            
                                    65,500 ££ ",65500,GBP,,Michael Burdge Ltd,Michael BURDGE,661d26ffcdc277c67bdaeb221f6d3d4KCs0NCkgMTkzNDgzODM4NQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/44530392/valtra-s394.html,Farm Tractors,For sale / Offers,11014509,Valtra,S394,Used - Not indicated,,,N/A,N/A,N/A,,"185,000
                            
                                    185,000 ££ ",185000,GBP,,Crawford Group,"Mr.
                Dave Redford",490aa01b33b8485eb411bb3c7804f52KCs0NCkgMDc5NzAyNDgxMTY=,
https://www.agriaffaires.co.uk/used/farm-tractor/44404759/john-deere-6110m.html,Farm Tractors,For sale / Offers,11088883,John Deere,6110M,Used - Not indicated,110,,N/A,N/A,N/A,,"69,000
                            
                                    69,000 ££ ",69000,GBP,,BEN BURGESS & CO.,"Mr.
                Will Tunmore-Clarke",6518a50aaaa7ad93aeeeeba0d1523abKCs0NCkgMTYwMzYyODI1MQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45157029/mc-cormick-x7-670.html,Farm Tractors,For sale / Offers,,Mc Cormick,X7.670,Used - good condition,,540/65R30,90%,80%,N/A,,"33,500
                            
                                    33,500 ££ ",33500,GBP,,G.M. STEPHENSON,"United Kingdom, Yorkshire and the Humber",d65312d189379444e3624fdbbcf4a7bKCs0NCkgMTcyMzg5MTQ4Nw==,
https://www.agriaffaires.co.uk/used/farm-tractor/45006287/john-deere-6r-215.html,Farm Tractors,For sale / Offers,,John Deere,6R 215,Used - Not indicated,215,600/70R28 650/85R38,N/A,N/A,N/A,,"149,950
                            
                                    149,950 ££ ",149950,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/45106989/john-deere-6130r.html,Farm Tractors,For sale / Offers,C1099998,John Deere,6130R,Used - average condition,130,,N/A,N/A,N/A,,"52,500
                            
                                    52,500 ££ ",52500,GBP,,BEN BURGESS & CO.,"Mr.
                Will Tunmore-Clarke",6518a50aaaa7ad93aeeeeba0d1523abKCs0NCkgMTYwMzYyODI1MQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45120344/john-deere-6120m.html,Farm Tractors,For sale / Offers,91045330,John Deere,6120M,Used - Not indicated,0,,N/A,N/A,N/A,,"67,500
                            
                                    67,500 ££ ",67500,GBP,,Hunt Forest Group,"United Kingdom, South East England",2aff3cd845ccf52991211e00245c610KCs0NCkgMDE5ODA2MjExMTQ=,
https://www.agriaffaires.co.uk/used/farm-tractor/45280519/new-holland-tvt-145.html,Farm Tractors,For sale / Offers,New Holland TVT 145,New Holland,TVT 145,Used - good condition,180,,50%,50%,,,"30,000
                            
                                    30,000 ££ ",30000,GBP,,,"Mr.
                Dart Joe",36a062fe1916164d1347c85dc55e7cbKCs0NCkgMDc5ODA4MzY2MTA=,
https://www.agriaffaires.co.uk/used/farm-tractor/45257147/john-deere-6195r.html,Farm Tractors,For sale / Offers,11046962 11046962,John Deere,6195R,Used - Not indicated,,,N/A,N/A,N/A,,"82,500
                            
                                    82,500 ££ ",82500,GBP,,Hunt Forest Group,"United Kingdom, South East England",2aff3cd845ccf52991211e00245c610KCs0NCkgMDE5ODA2MjExMTQ=,
https://www.agriaffaires.co.uk/used/farm-tractor/45269537/john-deere-8rx-370.html,Farm Tractors,For sale / Offers,11131989,John Deere,8RX 370,Used - Not indicated,370,,N/A,N/A,N/A,,"249,500
                            
                                    249,500 ££ ",249500,GBP,,Ripon Farm Services,"Mr.
                Richard Wainwright",b6dbc863fc8b2658238ddc8f3bbbd6fKCs0NCkgNzg3OTk1NjM5NA==,
https://www.agriaffaires.co.uk/used/farm-tractor/44771447/john-deere-8-1l.html,Farm Tractors,For sale / Offers,B1138656,John Deere,8.1L,Used - Not indicated,0,,N/A,N/A,N/A,,"7,100
                            
                                    7,100 ££ ",7100,GBP,,Ripon Farm Services MARKET WEIGHTON,"Mr.
                Richard Wainwright",b6dbc863fc8b2658238ddc8f3bbbd6fKCs0NCkgNzg3OTk1NjM5NA==,
